date,event_type,event_summary,participants,key_quote_or_decision,primary_source_url
2022-05-23,日米首脳会談,日米首脳共同声明（バイデン訪日）,岸田文雄首相 / Joe Biden大統領,岸田総理から日本の防衛力を抜本的に強化する決意を表明、バイデン大統領が「極めて重要な防衛分野における投資を今後も持続させることの重要性」を強調,https://www.mofa.go.jp/files/100347254.pdf
2022-07,自民党参院選公約,2022年参議院議員選挙公約,自民党,NATO基準（GDP2%程度）を念頭に防衛費を引き上げる,https://www.spf.org/iina/articles/tsuruoka_24.html
2022-11-13,日米首脳会談,ASEAN関連首脳会議（プノンペン）,岸田首相 / Biden大統領,バイデン大統領が日本の防衛費増を支持,https://www.mofa.go.jp/mofaj/na/na1/us/page1_001403.html
2022-11-末,首相指示,GDP2%目標を初指示,岸田首相,2027年度に（2022年のGDP比で）2%を達成するよう指示,https://www.spf.org/iina/articles/tsuruoka_24.html
2022-12-05,首相指示,5年間¥43兆円・GDP比2%（年¥11兆）を指示,岸田首相,現行計画から1.5倍超の規模／GDP比1%→2%の倍増,https://www.tokyo-np.co.jp/article/218352
2022-12-16,閣議決定,安保3文書閣議決定,内閣,国家安全保障戦略・国家防衛戦略・防衛力整備計画／反撃能力（敵基地攻撃能力）保有を明記,https://www.kantei.go.jp/jp/101_kishida/statement/2022/1216kaiken.html
2022-12-23,予算案閣議決定,R5予算案閣議決定,内閣,防衛関係費¥6兆8,219億（前年比+26%）／財務省主計官資料に「歳出予算増額の財源は税外収入1.2兆円程度」と明記,https://www.mof.go.jp/policy/budget/budger_workflow/budget/fy2023/seifuan2023/19.pdf
2023-01-11,日米2+2,日米安全保障協議委員会,岸田首相 / Biden / 浜田防衛相 / Austin国防長官,オースティン国防長官「日本が防衛費を大幅に増やし、防衛制度やインフラ、能力への投資を約束したことは、日米同盟の取組を加速させる」（閣議決定からわずか26日後）,https://www.mod.go.jp/j/press/kisha/2023/0202a.html
2023-02,予算委員会答弁,衆院予算委員会,浜田靖一防衛相 / 塩川鉄也議員,FMS調達¥1兆4,768億（前年比約4倍、10年で13倍）／トマホーク単価は明らかにせず,https://www.shiokawa-tetsuya.jp/wp/?p=9972
2023-06-16,法律成立,防衛財源確保法成立,国会,我が国の防衛力の抜本的な強化等のために必要な財源の確保に関する特別措置法（令和5年法律第69号）／立憲・維新・共産・国民が反対,https://ja.wikipedia.org/wiki/%E6%88%91%E3%81%8C%E5%9B%BD%E3%81%AE%E9%98%B2%E8%A1%9B%E5%8A%9B%E3%81%AE%E6%8A%9C%E6%9C%AC%E7%9A%84%E3%81%AA%E5%BC%B7%E5%8C%96%E7%AD%89%E3%81%AE%E3%81%9F%E3%82%81%E3%81%AB%E5%BF%85%E8%A6%81%E3%81%AA%E8%B2%A1%E6%BA%90%E3%81%AE%E7%A2%BA%E4%BF%9D%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E7%89%B9%E5%88%A5%E6%8E%AA%E7%BD%AE%E6%B3%95
2023-11-17,DSCA承認,米国DSCAが対日トマホーク売却を米議会に通知,US DSCA,最大400発（BlockV 200発+BlockIV 200発）、$23.5億の対日売却を承認,https://www.nikkei.com/article/DGXZQOGN1805H0Y3A111C2000000/
2024-01-18,FMS契約署名,トマホーク購入契約署名（LOA）,木原稔防衛相 / Emanuel駐日米大使,契約額約¥2,540億／最大400発が2025年度〜2027年度に順次納入,https://www.tokyo-np.co.jp/article/303682
